time,latitude,longitude,depth,mag
2024-07-11T02:13:18.585Z,6.0838,123.1503,639.503,7.1
2024-07-10T15:32:42.674Z,-5.4067,101.0211,9.0,5.4
2024-07-07T20:15:49.810Z,55.6433,162.0058,74.037,5.5
2024-07-07T20:01:12.295Z,26.8957,138.8289,546.0,6.2
2024-07-07T11:55:34.116Z,55.5772,162.1534,53.0,5.5
2024-07-06T17:25:59.084Z,7.6717,127.0054,53.37,5.0
2024-07-06T16:01:05.110Z,12.2671,124.6255,74.344,5.0
2024-07-06T10:29:30.724Z,19.2455,121.2112,15.0,5.5
2024-07-05T18:14:03.423Z,44.37,142.3255,232.352,5.1
2024-07-04T03:12:30.294Z,35.0839,140.3095,47.606,5.1
2024-07-03T02:20:22.721Z,44.0682,156.5177,10.0,5.0
2024-07-02T15:32:47.223Z,10.0697,126.1126,63.604,5.0
2024-07-01T22:44:54.079Z,26.9177,140.3011,479.19,5.3
2024-07-01T10:16:22.555Z,-5.5259,153.5664,29.884,5.0
2024-07-01T05:12:05.901Z,14.9166,147.0697,27.113,5.0
2024-06-30T18:23:20.345Z,18.9993,144.9393,592.508,5.2
2024-06-30T16:06:29.333Z,-9.3734,107.4144,20.277,5.2
2024-06-29T06:49:41.906Z,43.3709,147.0237,42.384,5.0
2024-06-28T17:16:45.100Z,10.1256,93.6765,10.0,5.0
2024-06-27T10:42:04.794Z,-6.3887,149.3223,43.976,5.0
2024-06-26T01:24:13.616Z,8.0633,90.4103,10.0,5.6
2024-06-25T08:30:59.769Z,33.4839,141.3336,34.723,5.4
2024-06-24T09:55:00.563Z,-7.0643,129.9588,87.686,5.4
2024-06-23T14:27:09.391Z,23.7895,121.6388,24.293,5.0
2024-06-23T07:45:39.587Z,53.5035,158.754,125.034,5.2
2024-06-22T00:41:54.636Z,13.937,124.9953,10.0,5.1
2024-06-21T00:11:17.451Z,-3.5436,139.8835,77.081,5.0
2024-06-20T11:36:08.905Z,40.1118,77.7976,10.0,5.0
2024-06-17T20:49:59.090Z,-6.3624,146.3118,107.384,5.2
2024-06-17T14:09:45.151Z,-11.4519,166.2329,57.0,5.6
2024-06-17T08:40:32.966Z,-3.1288,148.546,10.0,5.3
2024-06-15T13:08:14.671Z,3.1837,127.2673,45.789,5.6
2024-06-13T10:23:05.511Z,12.644,144.2593,17.351,5.1
2024-06-12T17:01:20.867Z,4.3762,126.4544,39.0,5.8
2024-06-11T11:38:17.405Z,-5.284,151.2803,121.73,5.2
2024-06-11T11:09:31.661Z,-5.2539,151.1864,124.061,5.1
2024-06-11T06:58:36.087Z,9.4523,119.739,9.9,5.2
2024-06-09T16:28:38.228Z,-5.4569,154.0688,125.0,5.7
2024-06-07T16:31:04.714Z,-2.994,139.2269,39.22,5.3
2024-06-06T13:15:37.463Z,-9.0052,116.8448,10.967,5.0
2024-06-06T11:07:53.351Z,50.1126,147.684,619.618,5.9
2024-06-05T11:16:14.005Z,0.4195,98.5655,65.051,5.1
2024-06-05T06:19:41.587Z,-3.5702,100.7411,10.0,5.0
2024-06-05T02:20:27.145Z,-3.6756,100.6221,19.0,5.5
2024-06-05T02:16:01.006Z,-4.1233,143.0423,77.628,5.2
2024-06-02T21:43:40.775Z,-2.9237,138.8345,48.904,5.0
2024-06-02T21:31:39.387Z,37.4476,137.2681,9.0,5.7
2024-06-02T18:40:31.328Z,-9.3077,156.4715,10.0,5.2
2024-06-02T01:27:23.706Z,23.7136,121.6602,10.0,5.0
2024-06-01T11:01:43.411Z,-1.6626,134.5006,36.038,5.0
2024-06-01T02:37:31.517Z,28.9087,131.0686,10.0,5.2
2024-06-01T00:46:38.484Z,34.1381,86.3128,20.71,5.9
2024-05-31T17:10:59.107Z,24.0165,121.5423,25.304,5.2
2024-05-30T17:08:17.919Z,-2.7221,122.0453,10.0,5.0
2024-05-29T17:14:58.129Z,32.3127,137.564,392.698,5.5
2024-05-29T13:13:27.000Z,23.527,94.6623,97.552,5.4
2024-05-28T11:52:40.252Z,2.8091,95.6066,21.0,5.7
2024-05-27T19:53:57.681Z,-10.2431,111.4012,10.0,5.0
2024-05-27T03:07:11.247Z,28.232,100.6748,10.0,5.1
2024-05-27T01:51:16.226Z,-7.0611,155.5707,52.998,5.2
2024-05-27T00:47:30.659Z,52.3248,157.6272,125.315,5.2
2024-05-25T08:08:58.450Z,56.1888,163.5596,29.395,5.1
2024-05-25T07:37:17.629Z,1.1293,126.3869,11.972,5.0
2024-05-24T15:51:29.453Z,-1.7121,151.7671,10.0,5.0
2024-05-23T10:49:59.715Z,5.4521,61.6896,10.0,5.5
2024-05-23T04:19:00.764Z,-6.2348,147.7405,90.235,5.0
2024-05-22T08:00:40.725Z,23.7696,121.7699,10.0,5.2
2024-05-22T05:49:12.684Z,0.1267,123.6754,127.916,5.0
2024-05-21T08:31:56.954Z,-2.2033,138.2031,22.062,5.3
2024-05-21T03:35:59.152Z,-6.3098,147.3092,57.0,5.7
2024-05-21T00:39:39.428Z,26.1908,141.52,59.788,5.4
2024-05-20T19:42:15.945Z,-8.9412,112.6283,88.44,5.0
2024-05-20T05:10:23.334Z,40.1736,76.9561,29.068,5.1
2024-05-19T18:30:04.343Z,-6.371,147.2559,64.474,5.3
2024-05-18T14:04:43.532Z,-3.8452,152.1304,4.0,5.7
2024-05-18T06:26:09.996Z,3.838,122.9135,524.072,5.5
2024-05-16T06:31:36.942Z,-3.8178,151.52,10.0,5.4
2024-05-16T03:48:01.274Z,-7.1123,148.4382,10.0,5.2
2024-05-14T17:15:48.751Z,-5.6475,150.1558,121.182,5.6
2024-05-14T08:11:10.486Z,-8.2223,115.9724,22.776,5.3
